ip,alert_count,directions,unique_signatures,unique_categories,critical_severity,top_signature,top_category,top_local_peers,first_seen,last_seen,vt_lookup_status,vt_malicious,vt_suspicious,vt_harmless,vt_undetected,vt_reputation,vt_country,vt_as_owner,vt_network,vt_tags,vt_error,risk_score,risk_level
148.251.221.163,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 149,Misc Attack,10.47.23.81,2018-03-24 18:30:39.457372-06:00,2018-03-24 18:30:39.457372-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
154.35.175.225,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 155,Misc Attack,10.47.23.81,2018-03-24 18:30:28.444668-06:00,2018-03-24 18:30:28.444668-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
171.25.193.9,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 180,Misc Attack,10.47.23.81,2018-03-24 18:31:44.505427-06:00,2018-03-24 18:31:44.505427-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
176.31.26.128,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 197,Misc Attack,10.47.24.25,2018-03-24 18:40:11.532021-06:00,2018-03-24 18:40:11.532021-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
185.100.84.212,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 222,Misc Attack,10.47.46.10,2018-03-24 18:02:21.317316-06:00,2018-03-24 18:02:21.317316-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
185.106.154.119,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 223,Misc Attack,10.47.44.68,2018-03-24 16:17:56.089017-06:00,2018-03-24 16:17:56.089017-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
185.13.39.197,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 226,Misc Attack,10.47.24.80,2018-03-24 16:00:25.292076-06:00,2018-03-24 16:00:25.292076-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
185.227.82.56,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 236,Misc Attack,10.47.44.10,2018-03-24 16:04:39.817397-06:00,2018-03-24 16:04:39.817397-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
185.35.202.221,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 241,Misc Attack,10.47.21.81,2018-03-24 18:36:36.422299-06:00,2018-03-24 18:36:36.422299-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
188.138.33.233,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 250,Misc Attack,10.47.43.10,2018-03-24 17:10:30.968829-06:00,2018-03-24 17:10:30.968829-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
